Detector+Descriptor type,frame1,frame2,frame3,frame4,frame5,frame6,frame7,frame8,frame9,frame10,frame11,frame12,frame13,frame14,frame15,frame16,frame17,frame18
SHITOMASI/BRISK,13.368893,13.030504,12.320243,12.752067,12.274682,13.744860,12.900000,12.621823,11.455896,12.737609,11.426544,11.728461,12.653150,11.811557,9.386742,11.104135,11.726440,9.874089
SHITOMASI/BRIEF,13.774567,13.308032,11.376875,13.085104,12.334163,13.078128,14.634667,11.755566,11.492621,12.270018,11.761101,11.399749,12.227710,11.001433,11.120271,12.184849,10.571016,9.478887
SHITOMASI/ORB,13.602964,13.212076,12.883973,12.104647,11.703530,13.526569,13.249052,12.015458,11.352559,14.145230,11.423773,11.965404,12.305028,11.482341,10.398085,11.735646,12.111922,9.115782
SHITOMASI/FREAK,13.761609,11.851927,11.412623,13.347941,11.640217,14.238518,12.661157,12.104769,11.870303,12.114214,11.959904,11.562785,13.347608,12.252640,10.278036,9.348200,11.589484,7.157780
FAST/BRISK,12.595108,12.806081,15.957723,12.874340,19.024143,12.376496,12.133695,11.741703,12.713836,12.116866,12.312956,11.712586,12.510941,11.627093,11.780525,12.199590,7.162243,12.640553
FAST/BRIEF,9.038328,12.496710,13.152563,12.999130,30.296671,12.182306,10.909307,11.821906,13.196171,12.965972,14.270176,11.561522,12.272973,11.113363,11.703404,11.842290,10.515494,10.939628
FAST/ORB,11.654937,12.345282,13.886184,12.360723,16.967909,12.596416,11.513061,11.193430,12.854501,12.303239,13.001145,12.563741,12.520997,11.878117,11.555412,11.866811,9.272335,12.055782
FAST/FREAK,12.008644,12.479038,16.987582,13.680523,14.534089,12.008644,12.196107,12.053083,12.000830,12.491467,13.006791,12.192042,12.465970,11.136511,10.400000,12.202684,7.772258,11.088323
BRISK/BRISK,12.865892,16.595705,12.780302,14.840485,28.636491,17.832318,15.559291,15.919929,13.967842,10.655235,12.139418,11.109731,11.571685,12.421219,12.471675,10.932869,10.350283,12.351702
BRISK/BRIEF,10.188863,16.132748,11.566230,17.839759,20.475655,20.604198,14.088164,19.115110,14.699265,10.176159,11.625099,12.685493,11.507082,10.780921,10.643671,11.720573,10.793659,9.963944
BRISK/ORB,11.732672,15.828972,14.288541,17.129813,23.876634,19.925431,12.133902,16.622027,15.131732,11.255012,13.493846,11.788223,11.612502,12.244315,10.876232,10.877792,8.622740,11.669139
BRISK/FREAK,11.293901,19.687204,12.204788,14.840485,19.919807,23.007703,12.053377,15.308844,17.974928,12.766138,12.504077,10.880147,11.961940,12.214478,14.430224,9.973310,9.352634,11.511348
ORB/BRISK,10.675950,13.506805,11.279324,16.489163,41.382721,10.053625,27.971744,10.665193,12.009355,11.041877,7.408786,-inf,13.732845,11.417125,24.635231,17.196230,20.335089,55.241845
ORB/BRIEF,12.286471,14.042017,19.901709,15.638958,22.397183,16.192176,19.334925,128.473433,39.376000,11.088170,10.079765,20.167478,12.824510,8.596376,18.557147,10.951057,8.729498,19.778292
ORB/ORB,19.087332,-inf,21.864450,25.119934,22.146446,-inf,-inf,10.939138,-inf,10.420869,9.128131,-inf,12.856211,13.627301,-inf,10.219129,14.434669,34.458615
ORB/FREAK,12.207445,11.104794,11.328775,12.576109,743.243793,65.746845,-inf,12.680933,30.342508,24.441934,8.121179,8.313420,8.362929,9.310102,8.129184,7.765476,11.321919,24.185503
AKAZE/BRISK,11.845504,13.111301,13.091781,13.302662,13.197427,12.665092,15.647728,13.602350,14.167303,12.434979,12.093934,10.374281,10.412323,9.704568,9.481552,10.068234,8.696532,8.670772
AKAZE/BRIEF,12.101016,13.518958,12.006130,13.383948,14.040568,12.461842,15.467412,14.660767,12.543066,11.980188,12.938649,11.195293,10.934204,10.807726,9.535192,9.530517,8.803469,8.496581
AKAZE/ORB,11.610244,13.519469,12.745033,14.336474,13.630273,13.651632,15.394699,13.828068,12.714370,11.782579,12.350140,10.609132,10.995935,9.771470,10.137448,9.789886,9.214722,9.074351
AKAZE/FREAK,11.502611,12.707417,12.826955,13.933535,14.004325,14.025021,15.322100,13.117250,11.562671,11.771526,11.516004,10.546292,10.186070,10.038067,9.385743,9.976506,8.460050,8.730268
